question,optionA,optionB,optionC,optionD,correctAnswer,explanation,category,level,topic,difficulty
"Spot the error: Choose the segment containing a grammatical error:
'Each of the designers have completed the daily training session.'",Each of the,have,completed the,designers,have,"The subject 'Each' is singular, so it requires the singular verb 'has' instead of the plural 'have'.",verbal,1,Capgemini,Easy
Choose the word that is most similar in meaning (synonym) to the word: 'ABUNDANT',Unclear,Hidden,Complicated,Plentiful,Plentiful,"'Abundant' means representing details in a short, clear way, which matches 'Plentiful'.",verbal,1,Infosys,Easy
Choose the word that is most opposite in meaning (antonym) to the word: 'ALLURE',Stubborn,Repel,Rigid,Greedy,Repel,"'Allure' represents a fixed, rigid state. The opposite of this is 'Repel'.",verbal,1,Wipro,Easy
Fill in the blank: 'The senior architect congratulated the developer _____ solving the database deadlock.',for,on,at,about,on,The verb 'congratulate' takes the preposition 'on' (congratulate someone on doing something).,verbal,1,Google,Easy
"Spot the error: Choose the segment containing a grammatical error:
'Each of the managers have completed the daily training session.'",completed the,managers,have,Each of the,have,"The subject 'Each' is singular, so it requires the singular verb 'has' instead of the plural 'have'.",verbal,1,Amazon,Easy
Choose the word that is most similar in meaning (synonym) to the word: 'CONCISE',Unclear,Complicated,Brief,Hidden,Brief,"'Concise' means representing details in a short, clear way, which matches 'Brief'.",verbal,1,Infosys,Easy
Choose the word that is most opposite in meaning (antonym) to the word: 'FRUGAL',Greedy,Rigid,Stubborn,Extravagant,Extravagant,"'Frugal' represents a fixed, rigid state. The opposite of this is 'Extravagant'.",verbal,1,Accenture,Easy
Fill in the blank: 'The senior architect congratulated the developer _____ solving the database deadlock.',about,for,at,on,on,The verb 'congratulate' takes the preposition 'on' (congratulate someone on doing something).,verbal,1,Cognizant,Easy
"Spot the error: Choose the segment containing a grammatical error:
'Each of the analysts have completed the daily training session.'",analysts,completed the,have,Each of the,have,"The subject 'Each' is singular, so it requires the singular verb 'has' instead of the plural 'have'.",verbal,1,Tech Mahindra,Easy
Choose the word that is most similar in meaning (synonym) to the word: 'CANDID',Complicated,Unclear,Honest,Hidden,Honest,"'Candid' means representing details in a short, clear way, which matches 'Honest'.",verbal,1,Cognizant,Easy
Choose the word that is most opposite in meaning (antonym) to the word: 'OBSTINATE',Rigid,Flexible,Stubborn,Greedy,Flexible,"'Obstinate' represents a fixed, rigid state. The opposite of this is 'Flexible'.",verbal,1,Accenture,Easy
Fill in the blank: 'The senior architect congratulated the developer _____ solving the database deadlock.',on,about,for,at,on,The verb 'congratulate' takes the preposition 'on' (congratulate someone on doing something).,verbal,1,Tech Mahindra,Easy
"Spot the error: Choose the segment containing a grammatical error:
'Each of the managers have completed the daily training session.'",managers,have,Each of the,completed the,have,"The subject 'Each' is singular, so it requires the singular verb 'has' instead of the plural 'have'.",verbal,1,Tech Mahindra,Easy
Choose the word that is most similar in meaning (synonym) to the word: 'TRIVIAL',Complicated,Unclear,Hidden,Unimportant,Unimportant,"'Trivial' means representing details in a short, clear way, which matches 'Unimportant'.",verbal,1,Wipro,Easy
Choose the word that is most opposite in meaning (antonym) to the word: 'DULL',Vibrant,Stubborn,Greedy,Rigid,Vibrant,"'Dull' represents a fixed, rigid state. The opposite of this is 'Vibrant'.",verbal,1,TCS,Easy
Fill in the blank: 'The senior architect congratulated the developer _____ solving the database deadlock.',about,at,on,for,on,The verb 'congratulate' takes the preposition 'on' (congratulate someone on doing something).,verbal,1,Amazon,Easy
"Spot the error: Choose the segment containing a grammatical error:
'Each of the developers have completed the daily training session.'",completed the,have,Each of the,developers,have,"The subject 'Each' is singular, so it requires the singular verb 'has' instead of the plural 'have'.",verbal,1,Google,Easy
Choose the word that is most similar in meaning (synonym) to the word: 'DILIGENT',Complicated,Hardworking,Hidden,Unclear,Hardworking,"'Diligent' means representing details in a short, clear way, which matches 'Hardworking'.",verbal,1,Infosys,Easy
Choose the word that is most opposite in meaning (antonym) to the word: 'AMPLIFY',Rigid,Greedy,Stubborn,Decrease,Decrease,"'Amplify' represents a fixed, rigid state. The opposite of this is 'Decrease'.",verbal,1,Tech Mahindra,Easy
Fill in the blank: 'The senior architect congratulated the developer _____ solving the database deadlock.',at,on,for,about,on,The verb 'congratulate' takes the preposition 'on' (congratulate someone on doing something).,verbal,1,Google,Easy
"Spot the error: Choose the segment containing a grammatical error:
'Each of the designers have completed the daily training session.'",have,Each of the,designers,completed the,have,"The subject 'Each' is singular, so it requires the singular verb 'has' instead of the plural 'have'.",verbal,1,Accenture,Easy
Choose the word that is most similar in meaning (synonym) to the word: 'ABUNDANT',Complicated,Plentiful,Hidden,Unclear,Plentiful,"'Abundant' means representing details in a short, clear way, which matches 'Plentiful'.",verbal,1,Wipro,Easy
Choose the word that is most opposite in meaning (antonym) to the word: 'ALLURE',Greedy,Stubborn,Repel,Rigid,Repel,"'Allure' represents a fixed, rigid state. The opposite of this is 'Repel'.",verbal,1,Infosys,Easy
Fill in the blank: 'The senior architect congratulated the developer _____ solving the database deadlock.',for,on,about,at,on,The verb 'congratulate' takes the preposition 'on' (congratulate someone on doing something).,verbal,1,Google,Easy
"Spot the error: Choose the segment containing a grammatical error:
'Each of the engineers have completed the daily training session.'",completed the,Each of the,engineers,have,have,"The subject 'Each' is singular, so it requires the singular verb 'has' instead of the plural 'have'.",verbal,1,Google,Easy
Choose the word that is most similar in meaning (synonym) to the word: 'CONCISE',Hidden,Brief,Complicated,Unclear,Brief,"'Concise' means representing details in a short, clear way, which matches 'Brief'.",verbal,1,Amazon,Easy
Choose the word that is most opposite in meaning (antonym) to the word: 'FRUGAL',Greedy,Rigid,Stubborn,Extravagant,Extravagant,"'Frugal' represents a fixed, rigid state. The opposite of this is 'Extravagant'.",verbal,1,Infosys,Easy
Fill in the blank: 'The senior architect congratulated the developer _____ solving the database deadlock.',about,at,on,for,on,The verb 'congratulate' takes the preposition 'on' (congratulate someone on doing something).,verbal,1,Amazon,Easy
"Spot the error: Choose the segment containing a grammatical error:
'Each of the developers have completed the daily training session.'",developers,completed the,Each of the,have,have,"The subject 'Each' is singular, so it requires the singular verb 'has' instead of the plural 'have'.",verbal,1,Cognizant,Easy
Choose the word that is most similar in meaning (synonym) to the word: 'CANDID',Unclear,Honest,Complicated,Hidden,Honest,"'Candid' means representing details in a short, clear way, which matches 'Honest'.",verbal,1,Infosys,Easy
Choose the word that is most opposite in meaning (antonym) to the word: 'OBSTINATE',Stubborn,Rigid,Flexible,Greedy,Flexible,"'Obstinate' represents a fixed, rigid state. The opposite of this is 'Flexible'.",verbal,1,Google,Easy
Fill in the blank: 'The senior architect congratulated the developer _____ solving the database deadlock.',for,about,on,at,on,The verb 'congratulate' takes the preposition 'on' (congratulate someone on doing something).,verbal,1,Tech Mahindra,Easy
"Spot the error: Choose the segment containing a grammatical error:
'Each of the analysts have completed the daily training session.'",completed the,Each of the,analysts,have,have,"The subject 'Each' is singular, so it requires the singular verb 'has' instead of the plural 'have'.",verbal,1,TCS,Easy
Choose the word that is most similar in meaning (synonym) to the word: 'TRIVIAL',Unclear,Hidden,Complicated,Unimportant,Unimportant,"'Trivial' means representing details in a short, clear way, which matches 'Unimportant'.",verbal,1,Microsoft,Easy
Choose the word that is most opposite in meaning (antonym) to the word: 'DULL',Greedy,Vibrant,Rigid,Stubborn,Vibrant,"'Dull' represents a fixed, rigid state. The opposite of this is 'Vibrant'.",verbal,1,Capgemini,Easy
Fill in the blank: 'The senior architect congratulated the developer _____ solving the database deadlock.',on,about,for,at,on,The verb 'congratulate' takes the preposition 'on' (congratulate someone on doing something).,verbal,1,Wipro,Easy
"Spot the error: Choose the segment containing a grammatical error:
'Each of the directors have completed the daily training session.'",Each of the,completed the,directors,have,have,"The subject 'Each' is singular, so it requires the singular verb 'has' instead of the plural 'have'.",verbal,1,Wipro,Easy
Choose the word that is most similar in meaning (synonym) to the word: 'DILIGENT',Hardworking,Complicated,Unclear,Hidden,Hardworking,"'Diligent' means representing details in a short, clear way, which matches 'Hardworking'.",verbal,1,Amazon,Easy
