question,optionA,optionB,optionC,optionD,correctAnswer,explanation,category,level,topic,difficulty
"If APPLE is coded as BQQMF using a simple letter shift, how is ORANGE coded in the same pattern?",NQDMFD,PSBOHF,PSGOHF,QTBPHF,PSBOHF,Each letter is shifted forward in the alphabet by 1 positions.,reasoning,1,Tech Mahindra,Easy
"Number Series: Find the missing term in the sequence: 4, 9, 14, 19, 24, ?",39,34,27,29,29,The differences between consecutive terms are constant (+5). The next term is 24 + 5 = 29.,reasoning,1,Microsoft,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Uncle,Brother,Cousin,Father,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,TCS,Easy
"If APPLE is coded as CRRNG using a simple letter shift, how is ORANGE coded in the same pattern?",NQDMFD,QTBPHF,QTCPIG,PSGOHF,QTCPIG,Each letter is shifted forward in the alphabet by 2 positions.,reasoning,1,Amazon,Easy
"Number Series: Find the missing term in the sequence: 5, 8, 11, 14, 17, ?",30,20,23,18,20,The differences between consecutive terms are constant (+3). The next term is 17 + 3 = 20.,reasoning,1,Microsoft,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Brother,Uncle,Cousin,Father,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Accenture,Easy
"If APPLE is coded as CRRNG using a simple letter shift, how is ORANGE coded in the same pattern?",NQDMFD,PSGOHF,QTBPHF,QTCPIG,QTCPIG,Each letter is shifted forward in the alphabet by 2 positions.,reasoning,1,Accenture,Easy
"Number Series: Find the missing term in the sequence: 4, 10, 16, 22, 28, ?",32,44,34,40,34,The differences between consecutive terms are constant (+6). The next term is 28 + 6 = 34.,reasoning,1,TCS,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Uncle,Cousin,Father,Brother,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Wipro,Easy
"If APPLE is coded as BQQMF using a simple letter shift, how is ORANGE coded in the same pattern?",NQDMFD,PSGOHF,QTBPHF,PSBOHF,PSBOHF,Each letter is shifted forward in the alphabet by 1 positions.,reasoning,1,Infosys,Easy
"Number Series: Find the missing term in the sequence: 2, 5, 8, 11, 14, ?",27,15,20,17,17,The differences between consecutive terms are constant (+3). The next term is 14 + 3 = 17.,reasoning,1,Capgemini,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Uncle,Father,Brother,Cousin,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Capgemini,Easy
"If APPLE is coded as BQQMF using a simple letter shift, how is ORANGE coded in the same pattern?",QTBPHF,NQDMFD,PSGOHF,PSBOHF,PSBOHF,Each letter is shifted forward in the alphabet by 1 positions.,reasoning,1,Wipro,Easy
"Number Series: Find the missing term in the sequence: 5, 8, 11, 14, 17, ?",18,30,20,23,20,The differences between consecutive terms are constant (+3). The next term is 17 + 3 = 20.,reasoning,1,Google,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Father,Brother,Cousin,Uncle,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Accenture,Easy
"If APPLE is coded as DSSOH using a simple letter shift, how is ORANGE coded in the same pattern?",NQDMFD,QTBPHF,PSGOHF,RUDQJH,RUDQJH,Each letter is shifted forward in the alphabet by 3 positions.,reasoning,1,Infosys,Easy
"Number Series: Find the missing term in the sequence: 3, 9, 15, 21, 27, ?",39,31,33,43,33,The differences between consecutive terms are constant (+6). The next term is 27 + 6 = 33.,reasoning,1,Accenture,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Cousin,Uncle,Brother,Father,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Capgemini,Easy
"If APPLE is coded as BQQMF using a simple letter shift, how is ORANGE coded in the same pattern?",PSGOHF,NQDMFD,PSBOHF,QTBPHF,PSBOHF,Each letter is shifted forward in the alphabet by 1 positions.,reasoning,1,Tech Mahindra,Easy
"Number Series: Find the missing term in the sequence: 2, 10, 18, 26, 34, ?",42,50,52,40,42,The differences between consecutive terms are constant (+8). The next term is 34 + 8 = 42.,reasoning,1,Google,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Father,Uncle,Cousin,Brother,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,TCS,Easy
"If APPLE is coded as DSSOH using a simple letter shift, how is ORANGE coded in the same pattern?",QTBPHF,PSGOHF,NQDMFD,RUDQJH,RUDQJH,Each letter is shifted forward in the alphabet by 3 positions.,reasoning,1,Amazon,Easy
"Number Series: Find the missing term in the sequence: 5, 11, 17, 23, 29, ?",45,35,41,33,35,The differences between consecutive terms are constant (+6). The next term is 29 + 6 = 35.,reasoning,1,Cognizant,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Uncle,Brother,Father,Cousin,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Wipro,Easy
"If APPLE is coded as BQQMF using a simple letter shift, how is ORANGE coded in the same pattern?",PSBOHF,PSGOHF,QTBPHF,NQDMFD,PSBOHF,Each letter is shifted forward in the alphabet by 1 positions.,reasoning,1,Infosys,Easy
"Number Series: Find the missing term in the sequence: 3, 9, 15, 21, 27, ?",33,31,43,39,33,The differences between consecutive terms are constant (+6). The next term is 27 + 6 = 33.,reasoning,1,Cognizant,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Uncle,Father,Cousin,Brother,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Cognizant,Easy
"If APPLE is coded as DSSOH using a simple letter shift, how is ORANGE coded in the same pattern?",NQDMFD,RUDQJH,PSGOHF,QTBPHF,RUDQJH,Each letter is shifted forward in the alphabet by 3 positions.,reasoning,1,Infosys,Easy
"Number Series: Find the missing term in the sequence: 3, 8, 13, 18, 23, ?",26,38,28,33,28,The differences between consecutive terms are constant (+5). The next term is 23 + 5 = 28.,reasoning,1,Wipro,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Brother,Father,Uncle,Cousin,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Tech Mahindra,Easy
"If APPLE is coded as CRRNG using a simple letter shift, how is ORANGE coded in the same pattern?",QTBPHF,NQDMFD,QTCPIG,PSGOHF,QTCPIG,Each letter is shifted forward in the alphabet by 2 positions.,reasoning,1,Infosys,Easy
"Number Series: Find the missing term in the sequence: 4, 10, 16, 22, 28, ?",40,32,44,34,34,The differences between consecutive terms are constant (+6). The next term is 28 + 6 = 34.,reasoning,1,Capgemini,Easy
"Pointing to a photograph, Rohan says, 'He is the son of the only son of my grandfather.' How is the person in the photo related to Rohan?",Father,Cousin,Brother,Uncle,Brother,Rohan's grandfather's only son is Rohan's father. The son of Rohan's father is Rohan's brother.,reasoning,1,Wipro,Easy
