question,optionA,optionB,optionC,optionD,correctAnswer,explanation,category,level,topic,difficulty
Find the simple interest on Rs.1200 at 9% per annum for 2 years.,Rs.186,Rs.216,Rs.266,Rs.237,Rs.216,Simple Interest (SI) = (P * R * T) / 100 = (1200 * 9 * 2) / 100 = Rs.216.0.,numerical,1,Wipro,Easy
A salary increases from Rs.48300 to Rs.53130. What is the percentage increase?,15%,10%,12%,8%,10%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((53130 - 48300) / 48300) * 100 = 10%.,numerical,1,Capgemini,Easy
A shopkeeper buys a watch for Rs.590 and sells it for Rs.678. What is his profit percentage?,18%,10%,25%,15%,15%,Profit = Selling Price (SP) - Cost Price (CP) = 678 - 590 = Rs.88. Profit % = (Profit / CP) * 100 = (88 / 590) * 100 = 15%.,numerical,1,Cognizant,Easy
"The average of 4 numbers is 46. If one number 20 is removed, what is the average of the remaining numbers?",54.67,60.13,53.67,56.67,54.67,"Total sum of 4 numbers = 4 * 46 = 184. After removing 20, new sum = 164. New average = 164 / 3 = 54.67.",numerical,1,Tech Mahindra,Easy
"The ratio of boys to girls in a class is 3:7. If there are 27 boys, how many total students are in the class?",86,95,54,90,90,"Boys : Girls = 3 : 7. Since boys = 27, 1 part = 27 / 3 = 9. Total parts = 3 + 7 = 10. Total students = 10 * 9 = 90.",numerical,1,Amazon,Easy
Find the simple interest on Rs.9000 at 6% per annum for 5 years.,Rs.2750,Rs.2970,Rs.2670,Rs.2700,Rs.2700,Simple Interest (SI) = (P * R * T) / 100 = (9000 * 6 * 5) / 100 = Rs.2700.0.,numerical,1,Cognizant,Easy
A salary increases from Rs.46600 to Rs.51260. What is the percentage increase?,10%,8%,15%,12%,10%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((51260 - 46600) / 46600) * 100 = 10%.,numerical,1,Wipro,Easy
A shopkeeper buys a watch for Rs.970 and sells it for Rs.1067. What is his profit percentage?,20%,5%,13%,10%,10%,Profit = Selling Price (SP) - Cost Price (CP) = 1067 - 970 = Rs.97. Profit % = (Profit / CP) * 100 = (97 / 970) * 100 = 10%.,numerical,1,Amazon,Easy
"The average of 6 numbers is 23. If one number 20 is removed, what is the average of the remaining numbers?",22.60,25.96,23.60,25.60,23.60,"Total sum of 6 numbers = 6 * 23 = 138. After removing 20, new sum = 118. New average = 118 / 5 = 23.60.",numerical,1,Google,Easy
"The ratio of boys to girls in a class is 4:5. If there are 20 boys, how many total students are in the class?",50,41,45,40,45,"Boys : Girls = 4 : 5. Since boys = 20, 1 part = 20 / 4 = 5. Total parts = 4 + 5 = 9. Total students = 9 * 5 = 45.",numerical,1,Google,Easy
Find the simple interest on Rs.6600 at 11% per annum for 2 years.,Rs.1452,Rs.1502,Rs.1597,Rs.1422,Rs.1452,Simple Interest (SI) = (P * R * T) / 100 = (6600 * 11 * 2) / 100 = Rs.1452.0.,numerical,1,TCS,Easy
A salary increases from Rs.11900 to Rs.14280. What is the percentage increase?,24%,18%,25%,20%,20%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((14280 - 11900) / 11900) * 100 = 20%.,numerical,1,Amazon,Easy
A shopkeeper buys a watch for Rs.640 and sells it for Rs.736. What is his profit percentage?,15%,18%,10%,25%,15%,Profit = Selling Price (SP) - Cost Price (CP) = 736 - 640 = Rs.96. Profit % = (Profit / CP) * 100 = (96 / 640) * 100 = 15%.,numerical,1,Amazon,Easy
"The average of 6 numbers is 44. If one number 40 is removed, what is the average of the remaining numbers?",43.80,49.28,46.80,44.80,44.80,"Total sum of 6 numbers = 6 * 44 = 264. After removing 40, new sum = 224. New average = 224 / 5 = 44.80.",numerical,1,Tech Mahindra,Easy
"The ratio of boys to girls in a class is 5:6. If there are 25 boys, how many total students are in the class?",55,51,50,60,55,"Boys : Girls = 5 : 6. Since boys = 25, 1 part = 25 / 5 = 5. Total parts = 5 + 6 = 11. Total students = 11 * 5 = 55.",numerical,1,Google,Easy
Find the simple interest on Rs.1300 at 14% per annum for 2 years.,Rs.334,Rs.400,Rs.414,Rs.364,Rs.364,Simple Interest (SI) = (P * R * T) / 100 = (1300 * 14 * 2) / 100 = Rs.364.0.,numerical,1,Microsoft,Easy
A salary increases from Rs.24100 to Rs.25305. What is the percentage increase?,5%,10%,6%,3%,5%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((25305 - 24100) / 24100) * 100 = 5%.,numerical,1,Cognizant,Easy
A shopkeeper buys a watch for Rs.240 and sells it for Rs.300. What is his profit percentage?,35%,25%,20%,28%,25%,Profit = Selling Price (SP) - Cost Price (CP) = 300 - 240 = Rs.60. Profit % = (Profit / CP) * 100 = (60 / 240) * 100 = 25%.,numerical,1,Wipro,Easy
"The average of 4 numbers is 42. If one number 30 is removed, what is the average of the remaining numbers?",50.60,46,48,45,46,"Total sum of 4 numbers = 4 * 42 = 168. After removing 30, new sum = 138. New average = 138 / 3 = 46.",numerical,1,Accenture,Easy
"The ratio of boys to girls in a class is 3:4. If there are 24 boys, how many total students are in the class?",48,56,52,61,56,"Boys : Girls = 3 : 4. Since boys = 24, 1 part = 24 / 3 = 8. Total parts = 3 + 4 = 7. Total students = 7 * 8 = 56.",numerical,1,TCS,Easy
Find the simple interest on Rs.4200 at 11% per annum for 5 years.,Rs.2280,Rs.2310,Rs.2541,Rs.2360,Rs.2310,Simple Interest (SI) = (P * R * T) / 100 = (4200 * 11 * 5) / 100 = Rs.2310.0.,numerical,1,Microsoft,Easy
A salary increases from Rs.12400 to Rs.13640. What is the percentage increase?,8%,15%,10%,12%,10%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((13640 - 12400) / 12400) * 100 = 10%.,numerical,1,Amazon,Easy
A shopkeeper buys a watch for Rs.300 and sells it for Rs.336. What is his profit percentage?,12%,7%,22%,15%,12%,Profit = Selling Price (SP) - Cost Price (CP) = 336 - 300 = Rs.36. Profit % = (Profit / CP) * 100 = (36 / 300) * 100 = 12%.,numerical,1,TCS,Easy
"The average of 7 numbers is 46. If one number 40 is removed, what is the average of the remaining numbers?",49,47,46,51.70,47,"Total sum of 7 numbers = 7 * 46 = 322. After removing 40, new sum = 282. New average = 282 / 6 = 47.",numerical,1,Wipro,Easy
"The ratio of boys to girls in a class is 3:5. If there are 27 boys, how many total students are in the class?",72,68,77,54,72,"Boys : Girls = 3 : 5. Since boys = 27, 1 part = 27 / 3 = 9. Total parts = 3 + 5 = 8. Total students = 8 * 9 = 72.",numerical,1,Cognizant,Easy
Find the simple interest on Rs.7700 at 10% per annum for 3 years.,Rs.2541,Rs.2310,Rs.2360,Rs.2280,Rs.2310,Simple Interest (SI) = (P * R * T) / 100 = (7700 * 10 * 3) / 100 = Rs.2310.0.,numerical,1,Microsoft,Easy
A salary increases from Rs.10300 to Rs.12875. What is the percentage increase?,25%,30%,5,23%,25%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((12875 - 10300) / 10300) * 100 = 25%.,numerical,1,Google,Easy
A shopkeeper buys a watch for Rs.130 and sells it for Rs.149. What is his profit percentage?,18%,10%,15%,25%,15%,Profit = Selling Price (SP) - Cost Price (CP) = 149 - 130 = Rs.19. Profit % = (Profit / CP) * 100 = (19 / 130) * 100 = 15%.,numerical,1,Google,Easy
"The average of 5 numbers is 50. If one number 40 is removed, what is the average of the remaining numbers?",57.75,54.50,52.50,51.50,52.50,"Total sum of 5 numbers = 5 * 50 = 250. After removing 40, new sum = 210. New average = 210 / 4 = 52.50.",numerical,1,Capgemini,Easy
"The ratio of boys to girls in a class is 2:6. If there are 12 boys, how many total students are in the class?",48,44,24,53,48,"Boys : Girls = 2 : 6. Since boys = 12, 1 part = 12 / 2 = 6. Total parts = 2 + 6 = 8. Total students = 8 * 6 = 48.",numerical,1,Cognizant,Easy
Find the simple interest on Rs.5500 at 11% per annum for 5 years.,Rs.3327,Rs.2995,Rs.3075,Rs.3025,Rs.3025,Simple Interest (SI) = (P * R * T) / 100 = (5500 * 11 * 5) / 100 = Rs.3025.0.,numerical,1,Amazon,Easy
A salary increases from Rs.37100 to Rs.44520. What is the percentage increase?,18%,24%,20%,25%,20%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((44520 - 37100) / 37100) * 100 = 20%.,numerical,1,Wipro,Easy
A shopkeeper buys a watch for Rs.770 and sells it for Rs.924. What is his profit percentage?,23%,30%,15%,20%,20%,Profit = Selling Price (SP) - Cost Price (CP) = 924 - 770 = Rs.154. Profit % = (Profit / CP) * 100 = (154 / 770) * 100 = 20%.,numerical,1,Cognizant,Easy
"The average of 5 numbers is 31. If one number 25 is removed, what is the average of the remaining numbers?",35.75,31.50,34.50,32.50,32.50,"Total sum of 5 numbers = 5 * 31 = 155. After removing 25, new sum = 130. New average = 130 / 4 = 32.50.",numerical,1,Capgemini,Easy
"The ratio of boys to girls in a class is 5:4. If there are 30 boys, how many total students are in the class?",60,50,54,59,54,"Boys : Girls = 5 : 4. Since boys = 30, 1 part = 30 / 5 = 6. Total parts = 5 + 4 = 9. Total students = 9 * 6 = 54.",numerical,1,Capgemini,Easy
Find the simple interest on Rs.8100 at 10% per annum for 1 years.,Rs.891,Rs.860,Rs.810,Rs.780,Rs.810,Simple Interest (SI) = (P * R * T) / 100 = (8100 * 10 * 1) / 100 = Rs.810.0.,numerical,1,Tech Mahindra,Easy
A salary increases from Rs.20800 to Rs.24960. What is the percentage increase?,18%,24%,20%,25%,20%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((24960 - 20800) / 20800) * 100 = 20%.,numerical,1,Google,Easy
A shopkeeper buys a watch for Rs.480 and sells it for Rs.537. What is his profit percentage?,7%,15%,22%,12%,12%,Profit = Selling Price (SP) - Cost Price (CP) = 537 - 480 = Rs.57. Profit % = (Profit / CP) * 100 = (57 / 480) * 100 = 12%.,numerical,1,Tech Mahindra,Easy
"The average of 5 numbers is 29. If one number 40 is removed, what is the average of the remaining numbers?",25.25,26.25,28.25,28.88,26.25,"Total sum of 5 numbers = 5 * 29 = 145. After removing 40, new sum = 105. New average = 105 / 4 = 26.25.",numerical,1,Amazon,Easy
"The ratio of boys to girls in a class is 2:7. If there are 12 boys, how many total students are in the class?",50,59,54,24,54,"Boys : Girls = 2 : 7. Since boys = 12, 1 part = 12 / 2 = 6. Total parts = 2 + 7 = 9. Total students = 9 * 6 = 54.",numerical,1,Microsoft,Easy
Find the simple interest on Rs.6300 at 6% per annum for 1 years.,Rs.348,Rs.428,Rs.415,Rs.378,Rs.378,Simple Interest (SI) = (P * R * T) / 100 = (6300 * 6 * 1) / 100 = Rs.378.0.,numerical,1,Capgemini,Easy
A salary increases from Rs.25900 to Rs.32375. What is the percentage increase?,25%,51,30%,23%,25%,Percentage Increase = ((Final - Initial) / Initial) * 100 = ((32375 - 25900) / 25900) * 100 = 25%.,numerical,1,Infosys,Easy
A shopkeeper buys a watch for Rs.300 and sells it for Rs.345. What is his profit percentage?,25%,18%,10%,15%,15%,Profit = Selling Price (SP) - Cost Price (CP) = 345 - 300 = Rs.45. Profit % = (Profit / CP) * 100 = (45 / 300) * 100 = 15%.,numerical,1,Microsoft,Easy
"The average of 7 numbers is 43. If one number 15 is removed, what is the average of the remaining numbers?",52.43,49.67,46.67,47.67,47.67,"Total sum of 7 numbers = 7 * 43 = 301. After removing 15, new sum = 286. New average = 286 / 6 = 47.67.",numerical,1,Google,Easy
"The ratio of boys to girls in a class is 5:6. If there are 35 boys, how many total students are in the class?",73,82,77,70,77,"Boys : Girls = 5 : 6. Since boys = 35, 1 part = 35 / 5 = 7. Total parts = 5 + 6 = 11. Total students = 11 * 7 = 77.",numerical,1,Capgemini,Easy
Find the simple interest on Rs.1200 at 5% per annum for 5 years.,Rs.330,Rs.300,Rs.270,Rs.350,Rs.300,Simple Interest (SI) = (P * R * T) / 100 = (1200 * 5 * 5) / 100 = Rs.300.0.,numerical,1,Tech Mahindra,Easy
